scorer,,,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He
bodyparts,,,Nose,Nose,Head,Head,Necktop,Necktop,Shoulder,Shoulder,SpineFront,SpineFront,SpineBack,SpineBack,TailBase,TailBase,BottomBack,BottomBack,BottomFront,BottomFront,NeckBot,NeckBot,LeftFrontLeg,LeftFrontLeg,LeftFrontHoof,LeftFrontHoof,RightFrontLeg,RightFrontLeg,RightFrontHoof,RightFrontHoof,LeftBackLeg,LeftBackLeg,LeftBackHoof,LeftBackHoof,RightBackHoof,RightBackHoof,RightBackLeg,RightBackLeg,UnderBelly,UnderBelly
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,A_clear_180428060000_41,img049.png,778.4702449449284,381.7850567154365,765.3188393884595,321.28859115567974,686.4104060496464,310.76746671050466,636.4350649350648,296.30092059838887,560.1569127075455,289.7252178201545,472.04249547920426,291.04035837580136,,,,,669.313578826237,427.8149761630774,723.2343416077592,381.7850567154365,643.0107677132993,438.3361006082525,583.8294427091895,506.7234095018905,614.0776754890678,437.0209600526056,645.6410488245931,534.341361170475,,,447.0548249219135,519.8748150583593,,,387.87349991780366,529.0807989478876,515.2594618619084,446.0561254333156
labeled-data,A_clear_180428060000_41,img051.png,804.773056057866,376.5244944928489,767.9491204997533,306.822045043564,691.6709682722341,308.13718559921085,639.0653460463586,287.0949367088607,557.5266315962518,283.14951504192004,469.41221436791056,289.7252178201545,,,,,691.6709682722341,421.239273384843,731.1251849416406,379.1547756041427,670.6287193818838,440.96638171954623,686.4104060496464,514.6142528357718,615.3928160447147,438.3361006082525,646.95618938024,527.7656583922407,,,444.42454381061975,525.1353772809468,,,389.1886404734506,527.7656583922407,515.3742067771644,442.3387394294568
labeled-data,A_clear_180428060000_41,img055.png,811.3487588361005,390.9910406049646,795.5670721683379,335.7551372677955,749.5371527206969,308.13718559921085,685.0952654939996,288.41007726450766,595.6657077100115,277.88895281933253,502.2907282590826,284.464655597567,397.079483807332,316.0280289330922,439.1639815880322,409.403008384021,703.5072332730559,414.6635706066086,750.8522932763439,380.46991615978953,678.5195627157651,440.96638171954623,696.9315304948216,511.98397172447807,637.7502054907118,435.7058194969587,640.3804866020055,531.7110800591813,483.87876048002624,469.8994739437777,499.6604471477889,518.5596745027125,435.2185599210916,455.432927831662,447.0548249219135,519.8748150583593,552.6143700516318,439.8808010550919
labeled-data,A_clear_180428060000_41,img066.png,878.4209271740916,352.85196449120497,854.7483971724477,291.04035837580136,815.294180503041,293.6706394870952,742.9614499424625,272.628390596745,654.8470327141213,279.2040933749794,589.090004931777,283.14951504192004,499.6604471477889,298.9312017096827,520.702696038139,398.88188393884593,795.5670721683379,381.7850567154365,825.8153049482163,354.1671050468519,719.2889199408186,422.5544139404899,699.5618116061153,502.7779878349498,774.5248232779877,413.34843005096167,798.1973532796317,496.2022850567154,581.1991615978957,439.6512411638994,619.3382377116553,511.98397172447807,523.3329771494328,443.5966628308401,547.0055071510767,525.1353772809468,656.5286956046189,425.6316946655163
labeled-data,A_clear_180428060000_41,img067.png,894.2026138418543,351.53682393555806,860.0089593950353,291.04035837580136,813.9790399473942,288.41007726450766,752.1674338319907,269.9981094854512,675.8892816044714,280.51923393062634,583.8294427091895,281.8343744862732,506.2361499260232,304.1917639322702,529.9086799276672,392.3061811606115,795.5670721683379,380.46991615978953,836.3364293933913,347.59140226861746,724.5494821634061,417.2938517179023,695.6163899391746,505.4082689462436,779.7853855005752,414.6635706066086,791.6216505013972,496.2022850567154,591.7202860430708,438.3361006082525,643.0107677132993,509.35369061318426,531.2238204833141,443.5966628308401,556.2114910406049,530.3959395035345,664.5718934135559,424.9201935896722
labeled-data,A_clear_180428060000_41,img068.png,902.0934571757356,346.2762617129705,871.8452243958571,283.14951504192004,836.4380315917376,291.06500607533394,783.3639125151883,278.8171324422842,726.2071688942892,270.65188335358425,624.1415552855408,280.8584447144591,515.9520048602674,315.5607533414336,540.447752126367,405.3784933171323,811.942284325638,380.8827460510327,854.8098420413123,344.13912515188326,728.2484811664642,431.915552855407,738.455042527339,484.98967193195614,795.6117861482383,433.95686512758186,791.5291616038883,495.196233292831,609.8523693803158,458.45261239368153,656.8025516403402,511.52673147023074,538.4064398541921,458.45261239368153,548.6130012150668,527.8572296476304,675.2809082231805,423.3656593892293
labeled-data,A_clear_180428060000_41,img071.png,928.3962682886732,347.59140226861746,898.1480355087948,285.77979615321385,848.1726943942132,288.41007726450766,786.3610882788097,269.9981094854512,720.6040604964654,272.628390596745,639.0653460463586,277.88895281933253,545.6903665954299,302.87662337662334,561.4720532631925,400.1970244944928,840.2818510603319,388.36075949367086,869.2149432845634,352.85196449120497,819.2396021699818,418.6089922735492,837.6515699490382,475.1600361663653,785.0459477231628,414.6635706066086,792.9367910570442,502.7779878349498,607.5019727108335,438.3361006082525,649.5864704915338,513.299112280125,558.8417721518987,448.8572250534276,553.5812099293112,534.341361170475,694.3622865027521,421.01710248633583
labeled-data,A_clear_180428060000_41,img076.png,,,925.7659871773797,277.88895281933253,881.0512082853853,285.77979615321385,837.6515699490382,256.8467039289824,752.1674338319907,256.8467039289824,681.1498438270589,271.31325004109806,587.7748643761302,293.6706394870952,608.8171132664803,393.6213217162584,863.9543810619758,389.67590004931776,894.2026138418543,346.2762617129705,842.9121321716258,413.34843005096167,854.7483971724477,475.1600361663653,810.0336182804537,409.403008384021,794.251931612691,490.9417228341279,627.2290810455366,438.3361006082525,640.3804866020055,510.6688311688312,675.8892816044714,430.4452572743712,706.1375143843497,504.0931283905968,,
