scorer,,,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He
bodyparts,,,Nose,Nose,Head,Head,Necktop,Necktop,Shoulder,Shoulder,SpineFront,SpineFront,SpineBack,SpineBack,TailBase,TailBase,BottomBack,BottomBack,BottomFront,BottomFront,NeckBot,NeckBot,LeftFrontLeg,LeftFrontLeg,LeftFrontHoof,LeftFrontHoof,RightFrontLeg,RightFrontLeg,RightFrontHoof,RightFrontHoof,LeftBackLeg,LeftBackLeg,LeftBackHoof,LeftBackHoof,RightBackHoof,RightBackHoof,RightBackLeg,RightBackLeg,UnderBelly,UnderBelly
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,A_clear_180428050000_30,img065.png,695.6163899391746,412.0332894953148,679.8347032714121,331.8097156008548,599.6111293769521,314.7128883774453,565.4174749301332,293.6706394870952,473.3576360348512,279.2040933749794,374.7220943613348,280.51923393062634,298.44394213381554,317.3431694887391,340.52843991451584,418.60899227354923,574.6234588196613,412.0332894953148,639.0653460463586,380.46991615978953,512.8118527042577,434.3906789413118,524.6481177050797,518.5596745027125,560.1569127075455,438.3361006082525,583.8294427091895,534.341361170475,,,,,,,,,418.93175573136386,418.88575791861416
labeled-data,A_clear_180428050000_30,img070.png,733.7554660529344,384.4153378267302,686.4104060496464,309.4523261548578,653.5318921584743,312.0826072661515,602.2414104882458,293.6706394870952,502.2907282590826,272.628390596745,385.24321880650996,283.14951504192004,,,,,615.3928160447147,409.403008384021,666.6832977149433,367.3185106033207,586.4597238204832,426.49983560743055,512.8118527042577,485.68116061154035,558.8417721518987,427.8149761630774,577.253739930955,533.0262206148282,,,454.94566825579477,519.8748150583593,,,,,453.0507405237294,419.88925747133084
labeled-data,A_clear_180428050000_30,img075.png,761.3734177215189,385.7304783823771,727.1797632746999,302.87662337662334,661.4227354923556,314.7128883774453,623.283659378596,289.7252178201545,532.538961038961,281.8343744862732,412.86117047509447,284.464655597567,,,,,652.2167516028275,405.45758671708035,699.5618116061153,371.26393227026136,625.9139404898898,430.44525727437116,667.9984382705901,514.6142528357718,575.9385993753082,431.76039783001806,574.6234588196613,522.5050961696531,,,451.0002465888541,525.1353772809468,,,,,495.19772173782803,419.38750769497256
labeled-data,A_clear_180428050000_30,img077.png,769.2642610554002,388.36075949367086,736.3857471642281,310.76746671050466,678.5195627157651,308.13718559921085,637.7502054907118,285.77979615321385,548.3206477067235,273.94353115239187,429.95799769850396,279.2040933749794,,,415.4914515863883,396.2516028275522,661.4227354923556,406.77272727272725,724.5494821634061,373.8942133815551,628.5442216011835,433.07553838566497,665.3681571592963,514.6142528357718,583.8294427091895,430.44525727437116,579.8840210422488,525.1353772809468,,,452.3153871445011,523.8202367253,,,,,505.7344670413527,418.3840081422559
labeled-data,A_clear_180428050000_30,img082.png,778.4702449449284,380.46991615978953,754.7977149432844,306.822045043564,696.9315304948216,305.50690448791715,667.9984382705901,280.51923393062634,586.4597238204832,272.628390596745,469.41221436791056,276.5738122636857,398.3946243629788,300.24634226532953,427.32771658721026,381.78505671543644,699.5618116061153,393.6213217162584,733.7554660529344,367.3185106033207,646.95618938024,435.7058194969587,658.7924543810619,511.98397172447807,621.9685188229491,430.44525727437116,583.8294427091895,518.5596745027125,433.9034193654446,438.3361006082525,445.7396843662666,521.1899556140063,473.3576360348512,438.3361006082525,510.1815715929639,530.3959395035345,556.42652667166,412.1457716331453
labeled-data,A_clear_180428050000_30,img085.png,800.8276343909255,381.78505671543644,773.2096827223409,305.50690448791715,735.0706066085812,306.822045043564,695.6163899391746,288.41007726450766,607.5019727108335,268.68296892980436,515.4421338155515,269.9981094854512,404.97032714121315,309.4523261548578,448.3699654775604,394.93646227190527,720.6040604964654,388.36075949367086,754.7977149432844,364.68822949202695,649.5864704915338,425.18469505178365,654.8470327141213,510.66883116883116,696.9315304948216,417.2938517179023,736.3857471642281,508.0385500575374,441.79426269932594,429.1301167187243,447.05482492191345,511.98397172447807,483.87876048002624,430.44525727437116,504.9210093703764,531.7110800591813,575.8701347306945,413.34135426056054
labeled-data,A_clear_180428050000_30,img086.png,804.773056057866,380.46991615978953,783.7308071675159,313.3977478217984,746.9068716094032,309.4523261548578,695.6163899391746,279.2040933749794,598.2959888213052,269.9981094854512,512.8118527042577,269.9981094854512,411.5460299194476,312.0826072661515,457.5759493670886,393.6213217162584,720.6040604964654,394.93646227190527,762.6885582771657,366.0033700476738,650.9016110471806,427.8149761630774,664.0530166036494,508.0385500575374,702.1920927174091,415.9787111622554,745.5917310537562,509.35369061318426,445.7396843662666,430.44525727437116,449.68510603320726,518.5596745027125,483.87876048002624,427.8149761630774,506.23614992602324,530.3959395035345,576.1491703644202,414.8477485587064
labeled-data,A_clear_180428050000_30,img092.png,833.7061482820976,381.78505671543644,820.5547427256287,317.3431694887391,777.1551043892815,301.5614828209765,733.7554660529344,277.88895281933253,646.95618938024,258.1618444846292,557.5266315962518,267.3678283741574,458.89108992273543,305.50690448791715,500.97558770343574,401.51216505013974,744.2765904981094,390.9910406049646,791.6216505013972,356.7973861581456,681.1498438270589,423.86955449613674,660.1075949367088,509.35369061318426,733.7554660529344,410.7181489396679,741.6463093868156,506.7234095018905,550.9509288180174,438.3361006082525,599.6111293769521,506.7234095018905,503.60586881472955,439.6512411638994,518.0724149268452,530.3959395035345,618.10424304603,412.8914194870888
